status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys,num_special,ScoreTextBlob,ScoreVader,ScoreAzure,ScoreStanfordCoreNLP,ScoreGoogleNLP,ScoreIBMNLP
399030656818342_1048632555191479,"Dress your dreams to make your mark: http://bit.ly/EidCollection2016

All dresses are available across all outlets throughout Ramadan",Timeline Photos,photo,https://www.facebook.com/Shwapno.ACILL/photos/a.399106963477378.104125.399030656818342/1048632555191479/?type=3,2016-06-23 10:50:00,409,4,2,403,5,1,0,0,0,0,0.40,0.40,-1000.00,1.00,0.60,0.00
399030656818342_1048622455192489,"SHWAPNO Introduces Eid Collection 2016 [FULL ALBUM]: http://bit.ly/EidCollection2016

All dresses will be available across all outlets throughout Ramadan",Timeline Photos,photo,https://www.facebook.com/Shwapno.ACILL/photos/a.399106963477378.104125.399030656818342/1048622455192489/?type=3,2016-06-22 23:32:00,474,6,2,472,2,0,0,0,0,0,0.38,0.00,-1000.00,1.00,0.50,0.00
399030656818342_1048622118525856,"Dress your dreams to make your mark: http://bit.ly/EidCollection2016

All dresses will be available across all outlets throughout Ramadan",Timeline Photos,photo,https://www.facebook.com/Shwapno.ACILL/photos/a.399106963477378.104125.399030656818342/1048622118525856/?type=3,2016-06-22 12:20:17,24710,59,11,24652,34,19,4,1,0,0,0.40,0.40,-1000.00,3.00,0.60,0.00
399030656818342_1048621298525938,"VIEW EID COLLECTION: http://bit.ly/EidCollection2016

All dresses will be available across all outlets throughout Ramadan",Timeline Photos,photo,https://www.facebook.com/Shwapno.ACILL/photos/a.399106963477378.104125.399030656818342/1048621298525938/?type=3,2016-06-22 12:17:45,3413,8,4,3401,9,1,1,0,1,0,0.40,0.00,-1000.00,2.00,0.60,0.00
399030656818342_1047151512006250,Enjoy 10% Cash Back on Your Purchase from Shwapno with UCB Cards :),Timeline Photos,photo,https://www.facebook.com/Shwapno.ACILL/photos/a.399106963477378.104125.399030656818342/1047151512006250/?type=3,2016-06-20 04:21:10,118,1,3,118,0,0,0,0,0,0,0.30,0.74,-1000.00,1.00,0.70,0.71
399030656818342_1046762642045137,What did you do to make your father happy on this father’s day?,Timeline Photos,photo,https://www.facebook.com/Shwapno.ACILL/photos/a.399106963477378.104125.399030656818342/1046762642045137/?type=3,2016-06-19 09:46:55,346,3,13,339,7,0,0,0,0,0,0.80,0.57,-1000.00,2.00,0.10,0.00
399030656818342_1045192155535519,"চঞ্চল চৌধুরী - অভিনেতা? নাকি মাছ বিক্রেতা?

Creative: Gousul Alam Shaon
Direction: Amitabh Reza",চঞ্চল চৌধুরী অভিনেতা নাকি মাছ বিক্রেতা?,video,https://www.facebook.com/Shwapno.ACILL/videos/1045192155535519/,2016-06-16 14:42:21,36525,441,3627,34550,233,415,1277,16,34,0,0.50,0.50,-1000.00,2.00,0.10,-1000.00
399030656818342_1045181252203276,"চঞ্চল চৌধুরী - অভিনেতা? নাকি সবজি বিক্রেতা?

Creative: Gousul Alam Shaon
Direction: Amitabh Reza",চঞ্চল চৌধুরী অভিনেতা নাকি সবজি বিক্রেতা?,video,https://www.facebook.com/Shwapno.ACILL/videos/1045181252203276/,2016-06-16 14:20:19,60100,780,5996,57084,428,651,1848,19,70,0,0.50,0.50,-1000.00,2.00,0.10,-1000.00
399030656818342_1044512032270198,"SHWAPNO Introduces Eid Collection 2016 [FULL ALBUM]: http://bit.ly/EidCollection2016

All dresses will be available across all outlets from 1st Ramadan",Timeline Photos,photo,https://www.facebook.com/Shwapno.ACILL/photos/a.399106963477378.104125.399030656818342/1044512032270198/?type=3,2016-06-15 09:57:09,4947,41,7,4921,9,17,0,0,0,0,0.38,0.00,-1000.00,1.00,0.50,0.00
399030656818342_1044511268936941,"VIEW EID COLLECTION: http://bit.ly/EidCollection2016

All dresses will be available across all outlets throughout Ramadan",Timeline Photos,photo,https://www.facebook.com/Shwapno.ACILL/photos/a.399106963477378.104125.399030656818342/1044511268936941/?type=3,2016-06-15 09:54:26,619,2,4,616,3,0,0,0,0,0,0.40,0.00,-1000.00,2.00,0.60,0.00
