status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys,num_special
407422362695986_457747540996801,,Timeline Photos,photo,https://www.facebook.com/lifebuoybangladesh/photos/a.407425886028967.1073741825.407422362695986/453634411408114/?type=3,2013-12-27 11:00:00,9,0,0,9,0,0,0,0,0,0
407422362695986_457224707715751,,Timeline Photos,photo,https://www.facebook.com/lifebuoybangladesh/photos/a.407425886028967.1073741825.407422362695986/453634278074794/?type=3,2013-12-26 11:00:00,15,0,4,15,0,0,0,0,0,0
407422362695986_456247144480174,,Timeline Photos,photo,https://www.facebook.com/lifebuoybangladesh/photos/a.407425886028967.1073741825.407422362695986/453634198074802/?type=3,2013-12-24 11:00:01,7,0,0,7,0,0,0,0,0,0
407422362695986_455797221191833,Check out this Inspiring Video and share your views with us- http://bit.ly/HelpAchildReach5,Timeline Photos,photo,https://www.facebook.com/lifebuoybangladesh/photos/a.407425886028967.1073741825.407422362695986/453635031408052/?type=3,2013-12-23 09:00:00,9,0,2,9,0,0,0,0,0,0
407422362695986_455103251261230,,Timeline Photos,photo,https://www.facebook.com/lifebuoybangladesh/photos/a.407425886028967.1073741825.407422362695986/453634131408142/?type=3,2013-12-21 09:00:00,9,0,0,9,0,0,0,0,0,0
407422362695986_454729114631977,,Timeline Photos,photo,https://www.facebook.com/lifebuoybangladesh/photos/a.407425886028967.1073741825.407422362695986/453634011408154/?type=3,2013-12-20 09:00:00,11,2,0,10,1,0,0,0,0,0
407422362695986_454048721366683,,Timeline Photos,photo,https://www.facebook.com/lifebuoybangladesh/photos/a.407425886028967.1073741825.407422362695986/453633804741508/?type=3,2013-12-18 10:45:00,4,1,0,4,0,0,0,0,0,0
407422362695986_453706598067562,,Timeline Photos,photo,https://www.facebook.com/lifebuoybangladesh/photos/a.407425886028967.1073741825.407422362695986/453633734741515/?type=3,2013-12-17 10:45:00,9,1,0,9,0,0,0,0,0,0
407422362695986_453633654741523,,Timeline Photos,photo,https://www.facebook.com/lifebuoybangladesh/photos/a.407425886028967.1073741825.407422362695986/453633584741530/?type=3,2013-12-17 05:49:30,6,2,0,6,0,0,0,0,0,0
407422362695986_453633168074905,,Timeline Photos,photo,https://www.facebook.com/lifebuoybangladesh/photos/a.407425886028967.1073741825.407422362695986/453633094741579/?type=3,2013-12-17 05:46:31,11,1,1,11,0,0,0,0,0,0
407422362695986_453634831408072,Check out this Inspiring Video and share your views with us- http://bit.ly/HelpAchildReach5,Timeline Photos,photo,https://www.facebook.com/lifebuoybangladesh/photos/a.407425886028967.1073741825.407422362695986/453634754741413/?type=3,2013-12-17 05:55:50,6,0,1,6,0,0,0,0,0,0
407422362695986_453632994741589,,Timeline Photos,photo,https://www.facebook.com/lifebuoybangladesh/photos/a.407425886028967.1073741825.407422362695986/453632824741606/?type=3,2013-12-17 05:44:55,7,1,0,7,0,0,0,0,0,0
407422362695986_453632808074941,,Timeline Photos,photo,https://www.facebook.com/lifebuoybangladesh/photos/a.407425886028967.1073741825.407422362695986/453632534741635/?type=3,2013-12-17 05:43:52,7,0,0,7,0,0,0,0,0,0
407422362695986_453632474741641,,Timeline Photos,photo,https://www.facebook.com/lifebuoybangladesh/photos/a.407425886028967.1073741825.407422362695986/453632378074984/?type=3,2013-12-17 05:43:10,10,0,0,10,0,0,0,0,0,0
407422362695986_453631624741726,,Timeline Photos,photo,https://www.facebook.com/lifebuoybangladesh/photos/a.407425886028967.1073741825.407422362695986/453631281408427/?type=3,2013-12-17 05:42:05,6,0,1,6,0,0,0,0,0,0
407422362695986_453631031408452,,Timeline Photos,photo,https://www.facebook.com/lifebuoybangladesh/photos/a.407425886028967.1073741825.407422362695986/453630951408460/?type=3,2013-12-17 05:41:16,12,0,1,12,0,0,0,0,0,0
